profile_id,minute_00,minute_01,minute_02,minute_03,minute_04,minute_05,minute_06,minute_07,minute_08,minute_09,minute_10,minute_11,minute_12,minute_13,minute_14,minute_15,minute_16,minute_17,minute_18,minute_19,minute_20,minute_21,minute_22,minute_23,minute_24,minute_25,minute_26,minute_27,minute_28,minute_29,minute_30,minute_31,minute_32,minute_33,minute_34,minute_35,minute_36,minute_37,minute_38,minute_39,minute_40,minute_41,minute_42,minute_43,minute_44,minute_45,minute_46,minute_47,minute_48,minute_49,minute_50,minute_51,minute_52,minute_53,minute_54,minute_55,minute_56,minute_57,minute_58,minute_59
0,294.103298451266,289.8247892339097,314.9266436277064,328.7424056618619,300.3348200139974,333.6283846285703,351.90816376789496,371.9326651372817,345.90061942456987,342.42763507725954,333.3834967735402,363.25704599294227,373.32760439858873,380.0,376.0389939179132,356.9457044428476,360.7666395339561,330.2338474612484,353.1680295007292,362.3845374392737,380.0,369.8168177690908,380.0,380.0,380.0,358.6247095496377,356.29517981053016,324.36144341563613,300.16170786036446,312.97513458733624,330.1084855008835,362.8341667712782,350.6419418409488,341.57412126338966,339.44302805269626,317.7060231885963,291.8005285620793,290.09987339789467,270.98352783145657,282.8705074592323,278.4711417802954,301.758615504344,315.77717264450143,302.64283754124426,325.9010236389083,347.2345286636845,339.3580151957967,324.54098247091383,337.3156677491621,312.0983416018138,291.09191577507136,256.60727465764177,276.6919810827915,288.2315410442337,302.5931175480772,322.24414971961494,319.3682540072988,324.1801377240014,298.9659275929374,271.98303274045554
1,253.99312548037926,251.96985991039855,256.53638736408175,275.0863073832035,284.51658978324485,288.2671478293046,292.4116490814836,278.6881559458664,245.8454043656222,241.41562161188756,221.43654870925462,215.03355376997916,239.7717688987508,221.14753290932464,190.2287248275593,174.92559726909906,160.4771603127669,171.81131634364954,175.80356700753902,195.67644164498796,207.1783894679051,200.62546976871005,222.60689669533247,199.29500108887174,165.88484620824198,137.1881964625369,152.7533510042884,150.0847571218855,126.37378165423763,126.44691591147307,102.10876310139486,115.85118935683636,112.08212864701852,103.7536144737723,89.85946071412366,98.97924223244587,89.30612497118318,60.44161932331025,33.70203247174632,66.03486899021232,94.63551733974481,108.61501670649727,92.22591400866366,125.06826042300435,144.58082370060998,159.76313694173967,156.2184420918049,140.275351420966,112.02271877171097,140.20488652977986,137.10922681813264,116.27466235379876,102.69162604434445,108.23699587027716,85.61109067602337,110.57409056248963,128.67045765095435,144.03286456751994,139.2793773517772,148.19099620094823
2,221.95722818683953,232.44649029567694,203.3575927754692,197.46411092741187,165.37710309774434,164.95646044486068,153.04674530815566,128.16343852877895,100.40164626935757,106.53676632179742,83.47827411937942,113.23668240575523,118.91096218478287,108.19184850222149,114.55593290592066,81.15220387799945,113.25134880490066,112.01258939090366,131.8040552984237,102.59515529299438,101.66123845166561,101.0107280564821,131.6585799047309,136.67954357105617,134.82380164504292,118.51209806147546,106.72192787545413,108.16899604846179,103.89279826981505,70.4056438614382,93.24607855504325,120.97733258382692,95.79476881372966,99.57729886146313,72.17760074094417,84.23440725373098,68.92077212246159,80.08035655089469,95.96997955097646,114.77530398521247,87.31717020212523,116.43799936175776,97.5529787243994,65.17185765673196,69.01153051413581,59.976090384506506,83.06137240377541,104.63897544827654,91.83869794586661,123.54165560074875,108.90590427055707,109.95990331677712,92.8774596565093,123.40050955993672,99.923056790678,68.06680014814106,63.5235943483537,97.98988383226231,125.40729247010631,142.80985383209276
3,338.50114653383946,366.04241131268986,367.3624965397413,354.4775301678968,373.51840041566595,380.0,371.1560410211597,342.7687077854657,360.0439805798975,343.4162166944981,373.99313723186265,355.8610774822606,329.45413275106466,352.63201979980806,328.3619219635226,305.9107035345644,312.8674989410234,339.086841799646,317.8372683996661,304.55992550267274,323.97826417955514,357.00611400382286,357.05799703798687,332.1308222165744,298.10636235614857,279.18228445606843,253.4098397011249,265.84594685402493,239.37422217802214,239.81731739146642,253.41568788646845,259.0938505319316,238.0781461481356,259.366862980894,274.4453620540001,291.17424232808804,265.34828493709995,239.01105119262405,268.9404297630796,261.77090333082543,247.8373117554912,247.03819493009854,258.43868982354934,290.33231781683725,275.38355369858107,305.1201437504229,271.86030814746084,275.72417111033855,285.1024289280145,257.5152471905672,232.3390189850411,226.67702133718234,259.3132551872051,266.03623391361117,296.347859425626,317.6531235185339,315.3698356274043,335.3032770750574,301.55185195344654,274.191931727048
4,315.18287365543983,335.9600698382012,317.2449217758516,319.3987931177853,326.81990056678603,352.5616273311068,359.77912834481765,353.6591381939753,344.85202123247814,339.6637672786238,350.298939069222,376.0232832918847,372.79606503722573,355.14483444382086,336.7111998536516,353.9321994706928,376.0920129103665,348.4614785001553,318.1205984870178,324.7309549499694,299.96308204345826,322.6895753754021,309.4130025500873,284.48403785806727,313.95197093218883,290.5391915236583,275.4695972873138,251.2225349507579,224.30683940733275,190.78720055088354,159.66487919238176,136.88978215789143,105.62651744179368,112.00658456956165,124.65660144552709,117.21073342376906,104.47011021041249,104.78694680196861,131.03729275839123,155.61650663594565,123.65976097684108,101.36464964859778,82.93679062590547,65.39392093416029,70.3802065561544,64.51857635537789,32.96636475030948,24.119354442479505,25.782060852714096,0.0,23.342098765199182,0.0,29.738930831264327,1.6768507418556169,25.727097353698298,53.91281742863151,87.48276506969302,108.62457668884457,128.18800454283758,138.1618338625259
5,296.01861473968904,270.4372693286093,272.9620318449439,273.9576327582729,298.98768284685195,296.38363843839807,288.3399031654228,298.10933215202056,281.76176437707977,256.54555314385675,254.99696232551895,249.17921812716088,230.45911396418205,221.184940672241,211.83241216007832,199.75710166895652,191.31958724984156,204.32162143175776,190.10297465174773,221.52302952182157,250.66739088949402,249.3311208704995,237.31640522082773,239.79684050892797,264.19607472308167,274.8771885622888,296.1846165185842,298.475175843186,307.7794098919194,292.9503028846917,309.39282424641203,288.5611457652123,302.19701478250715,327.44734956531977,301.6945481764278,309.7011300143622,281.35783239045765,297.1579263694575,268.0724516871039,298.58823927614776,273.2067943787939,305.3284115924296,326.3903039183863,332.9480442310311,352.7317315550994,373.38977028391537,380.0,362.73683476874305,369.04214744382466,340.69559127333275,348.8271902750213,325.8175815615165,330.3641243645874,335.4342603469569,333.0532210556428,334.6374453415614,353.11208264202253,374.0592127978672,373.5099378881472,380.0
6,353.8697695622386,327.25112075731727,300.44837037032505,271.58800120407886,282.63843115691583,276.9410122122424,296.14351134217145,308.12971027377296,296.4843533567496,324.3700116720571,342.7472619670027,326.68470783071507,317.17814907475884,304.1889476890573,280.22176309280724,255.56659917076064,286.0955216070627,281.74880421097544,273.5811918053941,289.65919141281057,293.3687059805136,323.89850505920595,343.5196096328634,342.0754791215812,333.42064226523905,367.4848504099416,380.0,380.0,353.29350040519284,377.83085794854765,380.0,353.5345174834579,359.71257748130336,372.7393230386848,338.600511050887,335.40276837980923,358.18073416355173,343.855865937638,340.9542316635366,336.91622055828907,323.05113795926343,352.34207064535224,372.03265312555834,344.77384189528607,379.56626794391616,380.0,364.8735906504827,380.0,352.4493672309968,380.0,380.0,380.0,351.33085088888924,379.123188811653,346.1531540359658,328.01111809884617,303.0226493605106,322.3964052089659,301.27070111386877,330.01537701303073
7,249.38223494444628,216.91362467907504,182.29371306808406,150.909767259092,158.32452969443295,179.42825645459203,161.1269538985092,185.58557290312433,154.59180871385257,175.6592784687699,205.60495858082953,224.65254651813615,238.52100139664077,262.1796167025176,229.99020767081225,209.11495542114613,182.85961297254113,183.17678228605018,200.33995126906927,209.44078038941717,234.01995737275263,209.88486684362897,226.3083432790903,204.82124763991362,188.77436023215967,203.46768904185092,237.08202398475862,244.8900764031535,213.70509845254418,221.84672634747147,189.81126495808314,216.70146475376032,231.37194471080375,208.49089396037897,179.91136436807284,157.75869038969518,191.36059295848867,188.45983793058298,208.34550431448156,217.89408826202595,222.96300875913056,198.12212658568404,229.34383833475067,215.43782261078093,220.89902771730885,234.8833438385435,245.32966470571512,276.1712733844014,251.56200267880547,252.14669437009144,245.42910172194507,243.62091278572836,216.96613961957047,191.35276231066405,175.81805051535207,162.14737277861025,157.10059773630474,164.86972602886874,174.29376424814717,168.1205270091371
8,155.33758158290493,135.5715784516923,141.75301584032286,128.9458796325295,96.47006803194495,90.75807112292517,88.94735837923707,69.73885915353185,74.81091447207996,79.41494750231442,93.55510018004043,103.91149393412513,114.58180789059736,101.71679851828037,121.83705405729711,125.2771609092747,120.476434571867,129.297308237741,119.54332164925881,120.43506877173189,137.00446696548732,164.05266903614688,193.5266728468103,193.78097760962726,195.2002356414671,216.19116439493564,203.20271281702975,226.81947818118454,226.40939343740416,199.51936414087294,169.56350443597898,193.5030292087414,162.39278339222284,147.03558392157873,135.42468675668692,112.53429792009848,99.50683380623775,116.49531347699372,82.52311252619864,105.4252522426467,130.3836138928658,121.44192401627419,97.19482695051863,104.2536555066743,77.6307344172169,68.1750896926946,100.26513235576266,134.94764543661728,153.99498783143827,140.7622935258919,153.89884696751835,168.27729255139923,160.4262112128547,170.28841563388585,136.0393507821832,115.67338688434012,117.42956809204838,93.89215939012911,70.50564014148648,94.04694048000312
9,375.87054101977014,379.7884009817616,380.0,380.0,354.91171219981425,351.2889051276188,343.7689952365532,314.3724450917862,332.2455571874183,327.61008909999975,325.4629744933278,301.0100826602546,278.6749483164154,307.1722018673504,275.2976380955499,256.59729804160935,242.04145116362633,241.3552791317374,247.4064412427731,246.93673955231975,217.82481297130147,199.88153475520141,223.9327216885793,233.56393072207146,244.00436423147067,255.9185921060655,274.32180343883255,243.38939715933384,234.05198410461674,236.81890457293423,225.51085840374708,249.62437953385012,248.4044551349607,267.20838639711724,291.84947257879907,292.18487638204397,320.8535334530385,326.95220929062714,351.47141020898766,340.3127659003943,340.2299529975983,342.42872586791873,314.77730598064363,307.6759814497515,336.8896185283688,346.04787535390074,323.47333612448847,312.1932306171608,290.6054412935498,257.34306051944986,287.2652926147317,283.6398055927127,270.16726066216773,277.0606640712093,242.57267601172043,227.0342234737774,241.24656607269986,250.61045018754828,284.3368665155258,292.7619061915889
